"","x","y","z","Sample","School"
"64",1,5,NA,"P","30"
"65",7,6,NA,"P","3"
"66",15,15,NA,"P","43"
"67",14,15,NA,"P","64"
"68",12,14,NA,"P","35"
"69",7,6,NA,"P","40"
"70",2,3,NA,"P","23"
"71",5,8,NA,"P","6"
"72",10,13,NA,"P","14"
"73",14,13,NA,"P","77"
"74",8,11,NA,"P","14"
"75",11,14,NA,"P","4"
"76",6,9,NA,"P","2"
"77",7,1,NA,"P","77"
"78",10,8,NA,"P","39"
"79",3,2,NA,"P","6"
"80",2,4,NA,"P","8"
"81",2,4,NA,"P","42"
"82",6,5,NA,"P","73"
"83",12,12,NA,"P","43"
"84",7,6,NA,"P","39"
"85",6,10,NA,"P","1"
"86",11,16,NA,"P","53"
"87",8,10,NA,"P","60"
"88",7,8,NA,"P","39"
"89",2,5,NA,"P","42"
"90",8,13,NA,"P","17"
"91",6,8,NA,"P","77"
"92",10,6,NA,"P","42"
"93",2,3,NA,"P","28"
"94",5,5,NA,"P","67"
"95",12,12,NA,"P","69"
"96",6,7,NA,"P","29"
"97",2,2,NA,"P","8"
"98",15,15,NA,"P","63"
"99",12,10,NA,"P","56"
"100",7,7,NA,"P","53"
"101",4,7,NA,"P","53"
"102",11,14,NA,"P","69"
"103",8,2,NA,"P","35"
"104",11,16,NA,"P","17"
"105",14,16,NA,"P","70"
"106",6,6,NA,"P","73"
"107",7,13,NA,"P","63"
"108",14,17,NA,"P","73"
"109",11,12,NA,"P","77"
"110",13,16,NA,"P","70"
"111",11,11,NA,"P","68"
"112",3,3,NA,"P","70"
"113",3,5,NA,"P","38"
"114",14,15,NA,"P","73"
"115",14,16,NA,"P","35"
"116",8,14,NA,"P","64"
"117",8,5,NA,"P","23"
"118",3,2,NA,"P","3"
"119",0,3,NA,"P","28"
"120",9,6,NA,"P","76"
"121",11,15,NA,"P","74"
"122",6,7,NA,"P","16"
"123",13,16,NA,"P","56"
"124",3,1,NA,"P","70"
"125",14,14,NA,"P","53"
"126",15,13,NA,"P","17"
"127",15,15,NA,"P","2"
"128",4,4,NA,"P","67"
"129",5,9,NA,"P","65"
"130",4,4,NA,"P","42"
"131",9,11,NA,"P","56"
"132",13,17,NA,"P","69"
"133",4,6,NA,"P","74"
"134",2,4,NA,"P","3"
"135",14,17,NA,"P","73"
"136",5,3,NA,"P","16"
"137",4,10,NA,"P","17"
"138",8,7,NA,"P","6"
"139",9,13,NA,"P","17"
"140",7,5,NA,"P","38"
"141",4,3,NA,"P","74"
"142",11,12,NA,"P","39"
"143",10,12,NA,"P","4"
"144",3,2,NA,"P","40"
"145",13,13,NA,"P","35"
"146",11,14,NA,"P","6"
"147",13,8,NA,"P","24"
"148",15,17,NA,"P","10"
"149",12,11,NA,"P","6"
"150",6,3,NA,"P","74"
"151",10,9,NA,"P","39"
"152",9,9,NA,"P","43"
"153",13,15,NA,"P","32"
"154",4,5,NA,"P","67"
"155",3,5,NA,"P","2"
"156",12,16,NA,"P","65"
"157",14,11,NA,"P","74"
"158",7,4,NA,"P","8"
"159",2,4,NA,"P","6"
"160",13,15,NA,"P","60"
"161",7,14,NA,"P","67"
"162",1,1,NA,"P","28"
"163",10,14,NA,"P","41"
"164",10,14,NA,"P","6"
"165",7,4,NA,"P","29"
"166",15,16,NA,"P","64"
"167",14,15,NA,"P","35"
"168",14,17,NA,"P","32"
"169",9,14,NA,"P","60"
"170",4,7,NA,"P","23"
"171",14,14,NA,"P","30"
"172",3,2,NA,"P","8"
"173",8,12,NA,"P","65"
"174",12,15,NA,"P","56"
"175",3,7,NA,"P","70"
"176",12,15,NA,"P","16"
"177",4,3,NA,"P","67"
"178",4,1,NA,"P","53"
"179",13,14,NA,"P","53"
"180",6,5,NA,"P","68"
"181",4,5,NA,"P","69"
"182",7,11,NA,"P","69"
"183",6,9,NA,"P","43"
"184",12,14,NA,"P","60"
"185",9,11,NA,"P","65"
"186",12,11,NA,"P","23"
"187",10,12,NA,"P","35"
"188",11,13,NA,"P","65"
"189",8,7,NA,"P","7"
"190",8,6,NA,"P","63"
"191",7,13,NA,"P","41"
"192",6,9,NA,"P","67"
"193",7,6,NA,"P","3"
"194",8,14,NA,"P","3"
"195",14,13,NA,"P","69"
"196",8,2,NA,"P","6"
"197",15,14,NA,"P","60"
"198",3,4,NA,"P","24"
"199",10,11,NA,"P","41"
"200",4,2,NA,"P","77"
"201",14,15,NA,"P","60"
"202",4,8,NA,"P","56"
"203",8,4,NA,"P","17"
"204",13,13,NA,"P","2"
"205",14,15,NA,"P","10"
"206",12,15,NA,"P","60"
"207",14,14,NA,"P","69"
"208",3,6,NA,"P","42"
"209",3,6,NA,"P","38"
"210",8,14,NA,"P","73"
"211",9,5,NA,"P","2"
"212",5,1,NA,"P","76"
"213",6,7,NA,"P","7"
"214",11,11,NA,"P","41"
"215",10,15,NA,"P","28"
"216",9,12,NA,"P","67"
"217",7,6,NA,"P","74"
"218",9,12,NA,"P","70"
"219",11,12,NA,"P","73"
"220",11,14,NA,"P","65"
"221",12,16,NA,"P","28"
"222",5,8,NA,"P","76"
"223",14,16,NA,"P","10"
"224",13,17,NA,"P","1"
"225",1,0,NA,"P","23"
"226",9,7,NA,"P","24"
"227",15,15,NA,"P","30"
"228",4,7,NA,"P","1"
"229",5,3,NA,"P","79"
"230",13,8,NA,"P","30"
"231",11,12,NA,"P","29"
"232",12,11,NA,"P","76"
"233",3,4,NA,"P","40"
"234",4,2,NA,"P","23"
"235",15,17,NA,"P","10"
"236",14,17,NA,"P","69"
"237",4,4,NA,"P","79"
"238",15,15,NA,"P","4"
"239",11,14,NA,"P","41"
"240",12,14,NA,"P","10"
"241",8,9,NA,"P","64"
"242",12,12,NA,"P","15"
"243",7,1,NA,"P","14"
"244",13,15,NA,"P","60"
"245",5,3,NA,"P","24"
"246",12,13,NA,"P","65"
"247",5,7,NA,"P","74"
"248",8,6,NA,"P","14"
"249",7,4,NA,"P","69"
"250",9,13,NA,"P","35"
"251",6,8,NA,"P","4"
"252",9,10,NA,"P","1"
"253",5,7,NA,"P","63"
"254",5,2,NA,"P","7"
"255",4,5,NA,"P","38"
"256",9,15,NA,"P","23"
"257",0,2,NA,"P","28"
"258",7,9,NA,"P","43"
"259",10,9,NA,"P","39"
"260",9,9,NA,"P","74"
"261",10,12,NA,"P","74"
"262",2,5,NA,"P","7"
"263",3,7,NA,"P","30"
"264",8,13,NA,"P","4"
"265",13,16,NA,"P","64"
"266",8,7,NA,"P","38"
"267",11,15,NA,"P","70"
"268",4,3,NA,"P","68"
"269",7,7,NA,"P","38"
"270",9,6,NA,"P","1"
"271",10,10,NA,"P","79"
"272",5,5,NA,"P","23"
"273",5,5,NA,"P","24"
"274",10,14,NA,"P","43"
"275",9,12,NA,"P","2"
"276",5,4,NA,"P","3"
"277",9,11,NA,"P","74"
"278",12,16,NA,"P","35"
"279",7,9,NA,"P","67"
"280",3,2,NA,"P","17"
"281",8,8,NA,"P","16"
"282",9,7,NA,"P","7"
"283",6,12,NA,"P","39"
"284",10,17,NA,"P","29"
"285",14,16,NA,"P","17"
"286",7,4,NA,"P","16"
"287",13,13,NA,"P","15"
"288",10,14,NA,"P","35"
"289",8,4,NA,"P","42"
"290",14,15,NA,"P","69"
"291",6,5,NA,"P","3"
"292",6,6,NA,"P","1"
"293",13,16,NA,"P","73"
"294",14,14,NA,"P","35"
"295",14,17,NA,"P","60"
"296",10,9,NA,"P","8"
"297",12,16,NA,"P","10"
"298",1,2,NA,"P","28"
"299",8,8,NA,"P","69"
"300",4,6,NA,"P","40"
"301",6,5,NA,"P","63"
"302",10,11,NA,"P","32"
"303",14,15,NA,"P","64"
"304",12,11,NA,"P","41"
"305",9,5,NA,"P","16"
"306",14,16,NA,"P","64"
"307",3,4,NA,"P","39"
"308",8,5,NA,"P","8"
"309",7,6,NA,"P","39"
"310",7,10,NA,"P","2"
"311",9,13,NA,"P","69"
"312",5,5,NA,"P","69"
"313",13,12,NA,"P","4"
"314",12,16,NA,"P","56"
"315",1,1,NA,"P","69"
"316",3,3,NA,"P","68"
"317",14,16,NA,"P","63"
"318",9,13,NA,"P","15"
"319",11,12,NA,"P","56"
"320",12,12,NA,"P","14"
"321",6,10,NA,"P","65"
"322",7,3,NA,"P","40"
"323",4,1,NA,"P","8"
"324",4,5,NA,"P","29"
"325",6,7,NA,"P","40"
"326",13,15,NA,"P","56"
"327",13,13,NA,"P","70"
"328",11,13,NA,"P","70"
"329",3,1,NA,"P","74"
"330",6,7,NA,"P","2"
"331",10,10,NA,"P","3"
"332",3,10,NA,"P","40"
"333",0,1,NA,"P","70"
"334",2,3,NA,"P","42"
"335",10,14,NA,"P","15"
"336",15,16,NA,"P","30"
"337",14,15,NA,"P","6"
"338",8,12,NA,"P","70"
"339",14,17,NA,"P","60"
"340",4,9,NA,"P","67"
"341",7,7,NA,"P","77"
"342",12,16,NA,"P","10"
"343",4,7,NA,"P","67"
"344",12,13,NA,"P","60"
"345",9,8,NA,"P","63"
"346",14,15,NA,"P","73"
"347",13,15,NA,"P","43"
"348",4,2,NA,"P","23"
"349",14,15,NA,"P","14"
"350",8,4,NA,"P","43"
"351",8,14,NA,"P","4"
"352",14,15,NA,"P","15"
"353",1,2,NA,"P","28"
"354",10,11,NA,"P","2"
"355",4,10,NA,"P","7"
"356",12,16,NA,"P","56"
"357",8,10,NA,"P","15"
"358",5,2,NA,"P","79"
"359",4,8,NA,"P","53"
"360",7,6,NA,"P","15"
"361",10,14,NA,"P","53"
"362",13,17,NA,"P","40"
"363",15,16,NA,"P","7"
"364",1,5,NA,"P","73"
"365",14,17,NA,"P","35"
"366",5,2,NA,"P","7"
"367",10,10,NA,"P","69"
"368",9,12,NA,"P","73"
"369",8,12,NA,"P","7"
"370",4,5,NA,"P","30"
"371",4,4,NA,"P","24"
"372",15,17,NA,"P","64"
"373",15,15,NA,"P","17"
"374",13,16,NA,"P","64"
"375",9,11,NA,"P","17"
"376",5,2,NA,"P","24"
"377",8,12,NA,"P","1"
"378",15,17,NA,"P","29"
"379",1,6,NA,"P","42"
"380",15,17,NA,"P","10"
"381",11,12,NA,"P","23"
"382",13,15,NA,"P","43"
"383",6,4,NA,"P","69"
"384",3,4,NA,"P","28"
"385",5,4,NA,"P","74"
"386",4,5,NA,"P","76"
"387",12,12,NA,"P","56"
"388",2,3,NA,"P","6"
"389",15,14,NA,"P","69"
"390",9,12,NA,"P","23"
"391",5,3,NA,"P","38"
"392",4,3,NA,"P","76"
"393",12,11,NA,"P","77"
"394",12,16,NA,"P","56"
"395",3,4,NA,"P","63"
"396",7,7,NA,"P","8"
"397",2,4,NA,"P","79"
"398",8,8,NA,"P","1"
"399",5,4,NA,"P","68"
"400",3,3,NA,"P","24"
"401",9,8,NA,"P","42"
"402",10,9,NA,"P","76"
"403",9,11,NA,"P","56"
"404",10,10,NA,"P","14"
"405",10,13,NA,"P","64"
"406",3,3,NA,"P","16"
"407",14,15,NA,"P","64"
"408",5,5,NA,"P","8"
"409",12,17,NA,"P","15"
"410",14,17,NA,"P","64"
"411",12,17,NA,"P","73"
"412",15,15,NA,"P","43"
"413",8,9,NA,"P","39"
"414",15,14,NA,"P","70"
"415",15,16,NA,"P","32"
"416",11,12,NA,"P","14"
"417",4,6,NA,"P","64"
"418",4,2,NA,"P","79"
"419",11,14,NA,"P","10"
"420",5,4,NA,"P","43"
"421",4,7,NA,"P","16"
"422",4,8,NA,"P","2"
"423",6,11,NA,"P","41"
"424",11,13,NA,"P","53"
"425",13,8,NA,"P","76"
"426",8,5,NA,"P","39"
"427",14,14,NA,"P","69"
"428",14,16,NA,"P","77"
"429",14,16,NA,"P","76"
"430",7,11,NA,"P","17"
"431",7,9,NA,"P","69"
"432",15,15,NA,"P","10"
"433",5,6,NA,"P","60"
"434",6,7,NA,"P","28"
"435",7,12,NA,"P","41"
"436",11,15,NA,"P","69"
"437",8,14,NA,"P","15"
"438",9,14,NA,"P","6"
"439",14,14,NA,"P","64"
"440",11,12,NA,"P","63"
"441",9,9,NA,"P","39"
"442",7,4,NA,"P","24"
"443",3,1,NA,"P","76"
"444",8,9,NA,"P","74"
"445",10,5,NA,"P","38"
"446",6,6,NA,"P","42"
"447",7,4,NA,"P","6"
"448",3,5,NA,"P","16"
"449",8,8,NA,"P","69"
"450",1,2,NA,"P","24"
"451",11,9,NA,"P","30"
"452",8,6,NA,"P","1"
"453",14,16,NA,"P","63"
"454",9,4,NA,"P","24"
"455",0,3,NA,"P","16"
"456",1,1,NA,"P","42"
"457",3,2,NA,"P","24"
"458",8,8,NA,"P","40"
"459",11,9,NA,"P","1"
"460",8,8,NA,"P","17"
"461",8,8,NA,"P","77"
"462",7,5,NA,"P","29"
"463",15,13,NA,"P","35"
"464",12,12,NA,"P","28"
"465",2,3,NA,"P","70"
"466",14,17,NA,"P","60"
"467",6,7,NA,"P","43"
"468",9,13,NA,"P","29"
"469",7,3,NA,"P","60"
"470",11,11,NA,"P","73"
"471",6,6,NA,"P","74"
"472",13,14,NA,"P","64"
"473",3,1,NA,"P","14"
"474",11,11,NA,"P","73"
"475",5,7,NA,"P","1"
"476",6,5,NA,"P","1"
"477",8,12,NA,"P","69"
"478",11,14,NA,"P","69"
"479",12,15,NA,"P","70"
"480",4,4,NA,"P","28"
"481",13,17,NA,"P","23"
"482",4,4,NA,"P","40"
"483",13,12,NA,"P","60"
"484",9,7,NA,"P","1"
"485",11,8,NA,"P","43"
"486",4,4,NA,"P","70"
"487",12,10,NA,"P","35"
"488",7,6,NA,"P","43"
"489",11,10,NA,"P","4"
"490",13,12,NA,"P","23"
"491",9,8,NA,"P","79"
"492",12,16,NA,"P","42"
"493",9,13,NA,"P","7"
"494",10,6,NA,"P","39"
"495",15,15,NA,"P","28"
"496",4,4,NA,"P","79"
"497",10,10,NA,"P","65"
"498",7,6,NA,"P","67"
"499",3,1,NA,"P","16"
"500",5,4,NA,"P","3"
"501",4,5,NA,"P","73"
"502",6,3,NA,"P","40"
"503",14,10,NA,"P","35"
"504",6,9,NA,"P","69"
"505",9,12,NA,"P","35"
"506",14,15,NA,"P","64"
"507",10,14,NA,"P","17"
"508",8,6,NA,"P","42"
"509",5,5,NA,"P","28"
"510",12,14,NA,"P","69"
"511",14,15,NA,"P","64"
"512",12,12,NA,"P","53"
"513",10,8,NA,"P","53"
"514",10,11,NA,"P","15"
"515",6,6,NA,"P","30"
"516",11,13,NA,"P","41"
"517",10,15,NA,"P","65"
"518",9,13,NA,"P","2"
"519",11,15,NA,"P","69"
"520",3,4,NA,"P","16"
"521",2,7,NA,"P","7"
"522",2,2,NA,"P","40"
"523",5,6,NA,"P","8"
"524",8,7,NA,"P","74"
"525",9,5,NA,"P","68"
"526",5,4,NA,"P","68"
"527",11,10,NA,"P","6"
"528",5,9,NA,"P","56"
"529",4,2,NA,"P","23"
"530",9,8,NA,"P","23"
"531",13,12,NA,"P","73"
"532",5,3,NA,"P","16"
"533",7,4,NA,"P","38"
"534",1,3,NA,"P","3"
"535",11,7,NA,"P","79"
"536",7,2,NA,"P","3"
"537",10,14,NA,"P","69"
"538",4,8,NA,"P","15"
"539",10,9,NA,"P","43"
"540",12,14,NA,"P","64"
"541",5,4,NA,"P","79"
"542",10,9,NA,"P","63"
"543",3,11,NA,"P","28"
"544",7,3,NA,"P","4"
"545",10,6,NA,"P","15"
"546",14,15,NA,"P","60"
"547",14,13,NA,"P","10"
"548",8,8,NA,"P","67"
"549",15,15,NA,"P","24"
"550",12,17,NA,"P","56"
"551",14,17,NA,"P","65"
"552",9,13,NA,"P","1"
"553",4,4,NA,"P","29"
"554",3,4,NA,"P","16"
"555",11,13,NA,"P","14"
"556",8,12,NA,"P","17"
"557",15,15,NA,"P","10"
"558",8,11,NA,"P","39"
"559",10,13,NA,"P","60"
"560",8,15,NA,"P","4"
"561",9,11,NA,"P","30"
"562",3,2,NA,"P","69"
"563",10,13,NA,"P","6"
"564",7,5,NA,"P","39"
"565",4,4,NA,"P","38"
"566",11,14,NA,"P","17"
"567",4,2,NA,"P","29"
"568",13,15,NA,"P","4"
"569",4,5,NA,"P","74"
"570",4,7,NA,"P","40"
"571",3,3,NA,"P","70"
"572",11,13,NA,"P","39"
"573",10,7,NA,"P","35"
"574",5,7,NA,"P","60"
"575",3,4,NA,"P","23"
"576",7,6,NA,"P","39"
"577",8,5,NA,"P","1"
"578",6,5,NA,"P","79"
"579",8,14,NA,"P","10"
"580",10,6,NA,"P","29"
"581",14,13,NA,"P","77"
"582",10,13,NA,"P","2"
"583",4,1,NA,"P","74"
"584",10,13,NA,"P","4"
"585",12,9,NA,"P","29"
"586",5,5,NA,"P","76"
"587",9,14,NA,"P","73"
"588",5,10,NA,"P","43"
"589",6,7,NA,"P","30"
"590",1,3,NA,"P","16"
"591",11,15,NA,"P","56"
"592",15,16,NA,"P","23"
"593",13,14,NA,"P","69"
"594",8,11,NA,"P","42"
"595",12,15,NA,"P","56"
"596",1,1,NA,"P","15"
"597",4,4,NA,"P","73"
"598",13,17,NA,"P","41"
"599",12,10,NA,"P","41"
"600",12,17,NA,"P","10"
"601",5,9,NA,"P","68"
"602",13,15,NA,"P","41"
"603",5,4,NA,"P","63"
"604",6,3,NA,"P","63"
"605",5,3,NA,"P","6"
"606",8,3,NA,"P","63"
"607",11,12,NA,"P","17"
"608",8,8,NA,"P","42"
"609",6,4,NA,"P","16"
"610",5,5,NA,"P","74"
"611",10,6,NA,"P","63"
"612",4,3,NA,"P","69"
"613",15,14,NA,"P","60"
"614",6,7,NA,"P","43"
"615",9,10,NA,"P","76"
"616",4,14,NA,"P","29"
"617",6,10,NA,"P","2"
"618",15,17,NA,"P","64"
"619",4,3,NA,"P","7"
"620",9,9,NA,"P","29"
"621",4,4,NA,"P","38"
"622",2,3,NA,"P","3"
"623",11,7,NA,"P","39"
"624",1,1,NA,"P","69"
"625",8,2,NA,"P","68"
"626",4,3,NA,"P","8"
"627",12,14,NA,"P","15"
"628",10,7,NA,"P","7"
"629",9,13,NA,"P","15"
"630",9,7,NA,"P","69"
"631",14,15,NA,"P","32"
"632",14,13,NA,"P","28"
"633",13,13,NA,"P","10"
"634",0,3,NA,"P","67"
"635",1,4,NA,"P","69"
"636",8,11,NA,"P","39"
"637",10,14,NA,"P","7"
"638",5,6,NA,"P","76"
"639",14,16,NA,"P","23"
"640",9,9,NA,"P","70"
"641",8,12,NA,"P","56"
"642",4,3,NA,"P","23"
"643",10,12,NA,"P","2"
"644",14,13,NA,"P","64"
"645",10,8,NA,"P","24"
"646",14,15,NA,"P","73"
"647",3,3,NA,"P","24"
"648",10,14,NA,"P","67"
"649",13,15,NA,"P","56"
"650",13,12,NA,"P","56"
"651",12,7,NA,"P","1"
"652",3,6,NA,"P","76"
"653",13,17,NA,"P","64"
"654",12,16,NA,"P","64"
"655",6,4,NA,"P","74"
"656",11,15,NA,"P","65"
"657",2,0,NA,"P","38"
"658",9,14,NA,"P","64"
"659",11,12,NA,"P","14"
"660",9,10,NA,"P","7"
"661",2,6,NA,"P","8"
"662",3,3,NA,"P","8"
"663",7,7,NA,"P","43"
"664",12,13,NA,"P","14"
"665",2,1,NA,"P","8"
"666",11,13,NA,"P","60"
"667",2,3,NA,"P","74"
"668",3,3,NA,"P","14"
"669",7,4,NA,"P","39"
"670",9,7,NA,"P","6"
"671",13,15,NA,"P","60"
"672",10,15,NA,"P","60"
"673",4,7,NA,"P","74"
"674",9,10,NA,"P","6"
"675",2,2,NA,"P","69"
"676",6,2,NA,"P","53"
"677",9,10,NA,"P","69"
"678",4,7,NA,"P","38"
"679",11,16,NA,"P","60"
"680",5,5,NA,"P","40"
"681",7,7,NA,"P","73"
"682",7,12,NA,"P","14"
"683",7,6,NA,"P","67"
"684",7,10,NA,"P","2"
"685",6,5,NA,"P","16"
"686",5,9,NA,"P","43"
"687",9,8,NA,"P","35"
"688",8,6,NA,"P","77"
"689",12,11,NA,"P","15"
"690",1,1,NA,"P","76"
"691",9,12,NA,"P","77"
"692",4,10,NA,"P","76"
"693",11,16,NA,"P","53"
"694",6,5,NA,"P","77"
"695",6,7,NA,"P","4"
"696",13,15,NA,"P","7"
"697",2,4,NA,"P","65"
"698",6,4,NA,"P","67"
"699",12,15,NA,"P","23"
"700",12,17,NA,"P","8"
"701",14,11,NA,"P","56"
"702",9,8,NA,"P","69"
"703",10,13,NA,"P","17"
"704",11,15,NA,"P","17"
"705",5,2,NA,"P","8"
"706",7,12,NA,"P","17"
"707",14,17,NA,"P","77"
"708",8,14,NA,"P","35"
"709",5,3,NA,"P","42"
"710",4,5,NA,"P","3"
"711",11,15,NA,"P","2"
"712",2,1,NA,"P","15"
"713",7,7,NA,"P","40"
"714",14,16,NA,"P","65"
"715",12,14,NA,"P","43"
"716",11,13,NA,"P","42"
"717",11,13,NA,"P","41"
"718",15,12,NA,"P","35"
"719",9,11,NA,"P","17"
"720",9,13,NA,"P","70"
"721",8,11,NA,"P","38"
"722",11,11,NA,"P","35"
"723",3,2,NA,"P","39"
"724",1,5,NA,"P","74"
"725",4,3,NA,"P","74"
"726",5,5,NA,"P","28"
"727",11,13,NA,"P","41"
"728",13,15,NA,"P","10"
"729",13,16,NA,"P","28"
"730",7,4,NA,"P","23"
"731",5,8,NA,"P","42"
"732",10,11,NA,"P","23"
"733",12,15,NA,"P","53"
"734",9,8,NA,"P","70"
"735",11,14,NA,"P","6"
"736",9,14,NA,"P","60"
"737",11,8,NA,"P","42"
"738",9,16,NA,"P","40"
"739",10,6,NA,"P","30"
"740",5,4,NA,"P","39"
"741",11,8,NA,"P","74"
"742",13,15,NA,"P","53"
"743",9,12,NA,"P","69"
"744",10,7,NA,"P","41"
"745",3,2,NA,"P","3"
"746",7,8,NA,"P","28"
"747",8,9,NA,"P","23"
"748",5,5,NA,"P","40"
"749",7,2,NA,"P","67"
"750",11,16,NA,"P","10"
"751",5,9,NA,"P","67"
"752",1,4,NA,"P","38"
"753",15,12,NA,"P","56"
"754",5,1,NA,"P","68"
"755",8,7,NA,"P","70"
"756",15,16,NA,"P","65"
"757",8,7,NA,"P","74"
"758",3,1,NA,"P","42"
"759",6,7,NA,"P","63"
"760",4,7,NA,"P","28"
"761",13,15,NA,"P","64"
"762",12,13,NA,"P","64"
"763",9,6,NA,"P","14"
"764",9,7,NA,"P","38"
"765",3,2,NA,"P","8"
"766",15,16,NA,"P","10"
"767",10,14,NA,"P","1"
"768",11,14,NA,"P","6"
"769",11,13,NA,"P","39"
"770",7,12,NA,"P","63"
"771",6,4,NA,"P","68"
"772",12,13,NA,"P","10"
"773",9,10,NA,"P","53"
"774",11,16,NA,"P","7"
"775",8,13,NA,"P","6"
"776",10,14,NA,"P","60"
"777",9,11,NA,"P","2"
"778",12,8,NA,"P","70"
"779",5,8,NA,"P","17"
"780",13,16,NA,"P","56"
"781",13,16,NA,"P","77"
"782",12,13,NA,"P","4"
"783",12,13,NA,"P","41"
"784",2,3,NA,"P","69"
"785",2,5,NA,"P","77"
"786",7,6,NA,"P","7"
"787",14,14,NA,"P","2"
"788",10,11,NA,"P","65"
"789",14,13,NA,"P","35"
"790",8,8,NA,"P","28"
"791",6,4,NA,"P","24"
"792",10,10,NA,"P","39"
"793",4,8,NA,"P","24"
"794",4,0,NA,"P","70"
"795",10,6,NA,"P","3"
"796",13,16,NA,"P","77"
"797",2,2,NA,"P","7"
"798",6,9,NA,"P","15"
"799",2,2,NA,"P","16"
"800",7,4,NA,"P","79"
"801",4,5,NA,"P","14"
"802",13,15,NA,"P","73"
"803",11,13,NA,"P","73"
"804",2,2,NA,"P","63"
"805",13,16,NA,"P","10"
"806",10,12,NA,"P","69"
"807",7,7,NA,"P","6"
"808",14,16,NA,"P","56"
"809",8,10,NA,"P","17"
"810",6,5,NA,"P","6"
"811",13,16,NA,"P","69"
"812",11,11,NA,"P","73"
"813",9,12,NA,"P","53"
"814",10,14,NA,"P","53"
"815",7,9,NA,"P","4"
"816",3,1,NA,"P","76"
"817",11,10,NA,"P","53"
"818",5,5,NA,"P","77"
"819",2,4,NA,"P","16"
"820",13,15,NA,"P","64"
"821",14,11,NA,"P","69"
"822",8,8,NA,"P","14"
"823",11,12,NA,"P","56"
"824",11,9,NA,"P","35"
"825",8,10,NA,"P","35"
"826",14,16,NA,"P","10"
"827",7,6,NA,"P","32"
"828",3,2,NA,"P","23"
"829",9,11,NA,"P","63"
"830",15,15,NA,"P","10"
"831",9,9,NA,"P","39"
"832",4,3,NA,"P","74"
"833",5,0,NA,"P","8"
"834",6,12,NA,"P","43"
"835",6,4,NA,"P","77"
"836",11,12,NA,"P","1"
"837",8,10,NA,"P","2"
"838",14,15,NA,"P","29"
"839",12,17,NA,"P","15"
"840",12,14,NA,"P","4"
"841",12,7,NA,"P","39"
"842",15,17,NA,"P","32"
"843",13,11,NA,"P","53"
"844",10,1,NA,"P","43"
"845",4,6,NA,"P","1"
"846",13,14,NA,"P","41"
"847",7,11,NA,"P","32"
"848",2,2,NA,"P","16"
"849",4,3,NA,"P","30"
"850",5,5,NA,"P","1"
"851",5,6,NA,"P","3"
"852",1,3,NA,"P","70"
"853",2,5,NA,"P","67"
"854",7,5,NA,"P","79"
"855",7,6,NA,"P","1"
"856",6,7,NA,"P","67"
"857",4,7,NA,"P","70"
"858",13,17,NA,"P","63"
"859",11,9,NA,"P","15"
"860",8,7,NA,"P","65"
"861",10,13,NA,"P","73"
"862",5,4,NA,"P","24"
"863",7,7,NA,"P","56"
"864",9,12,NA,"P","73"
"865",12,13,NA,"P","43"
"866",15,15,NA,"P","64"
"867",2,3,NA,"P","38"
"868",5,4,NA,"P","3"
"869",6,14,NA,"P","40"
"870",6,4,NA,"P","69"
"871",14,14,NA,"P","64"
"872",7,17,NA,"P","32"
"873",5,6,NA,"P","67"
